model,target,RMSE,MAE,R2,error,error_average
ARIMA,СКР,0.05926621495670294,0.04445411764705883,0.9544499972734612,4.136024551407526,23.366633676905913
ARIMA,ОПЖ,0.880369612552525,0.7062552941176471,0.8856220471199727,1.2154073814251432,3.9255724713872944
ARIMAX,СКР,0.11204480878858507,0.07825529411764705,0.8346619440997531,7.800007163824511,23.04800988295015
ARIMAX,ОПЖ,0.7307933422376134,0.5286717647058815,0.9211863581243357,1.008907633552553,3.9255724713872944
Prophet,СКР,0.0812716464167795,0.06364434410253696,0.915751869343397,5.631526746965954,22.947746449726324
Prophet,ОПЖ,3.1182167851107914,1.9576427501147977,-0.5340055812229811,4.32427156973766,3.6717662954718566
Random Forest,СКР,0.05314318019838272,0.03907372708764437,0.9628050116490402,3.6995661890766014,23.04800988295015
Random Forest,ОПЖ,1.782277351228856,1.664282225610894,0.5312267639186696,2.46054954367381,3.9255724713872944
RNN,СКР,0.3222381223996383,0.25142352362801046,-0.3401545911682544,22.331579384007057,22.86120035365979
RNN,ОПЖ,3.2670192967283587,2.6162766813390395,-0.7032467821757102,4.530438737137739,3.6540144304911046
XGBoost,СКР,0.03110168343716449,0.026059997250052057,0.9872603604480559,2.165145857624063,23.04800988295015
XGBoost,ОПЖ,0.45042098667563374,0.3657362204159005,0.9700601605543773,0.621835402027463,3.9255724713872944
